Original File: team_stats.csv
==================================================

# Column Headers:
1. team_name
2. opponent_team_name
3. match_date
4. competition
5. goals
6. possession
7. shots
8. shots_on_target
9. num_of_possessions
10. shots_on_post
11. shots_blocked
12. shots_wide
13. possessions_end_in_opp_half
14. perc_total_possessions_end_in_opp_half
15. shots_inside_box
16. shots_on_target_inside_box
17. shots_on_target_inside_box_perc
18. posssessions_end_in_opp_box
19. perc_total_possessions_end_in_opp_box
20. shots_outside_box
21. shots_on_target_outside_box
22. shots_on_target_outside_box_perc
23. average_possession_time
24. corners
25. free_kicks
26. offsides
27. total_open_play_possessions
28. fouls_committed
29. fouls_drawn
30. num_short_possessions
31. yellows
32. reds
33. num_medium_possessions
34. num_long_possessions
35. num_very_long_possessions
36. total_attacks
37. total_attacks_with_shots
38. total_attacks_to_shot_rate
39. num_positional_attacks
40. positional_attacks_with_shots
41. positional_attacks_to_shot_rate
42. counters
43. total_passes_attempted
44. total_accurate_passes
45. total_passing_accuracy
46. total_free_kicks
47. free_kicks_with_shots
48. free_kick_shot_perc
49. forward_passes_attempted
50. forward_accurate_passes
51. forward_passing_accuracy
52. total_corners
53. corners_with_shots
54. corner_shot_perc
55. back_passes_attempted
56. back_accurate_passes
57. back_passing_accuracy
58. lateral_passes_attempted
59. lateral_accurate_passes
60. lateral_passing_accuracy
61. progressive_passes_attempted
62. progressive_accurate_passes
63. progressive_passing_accuracy
64. slide_tackles
65. long_passes_attempted
66. long_accurate_passes
67. long_passing_accuracy
68. interceptions
69. fin_third_passes_attempted
70. fin_third_accurate_passes
71. fin_third_passing_accuracy
72. clearances
73. average_pass_to_final_third_length
74. ppda
75. passes_to_box_attempted
76. accurate_passes_to_box
77. passes_to_box_accuracy
78. shot_assists
79. total_recoveries
80. recoveries_own_third
81. recoveries_mid_third
82. recoveries_opp_third
83. recoveries_in_opp_half
84. total_crosses
85. accurate_crosses
86. crossing_accuracy
87. total_losses
88. losses_own_third
89. losses_mid_third
90. losses_opp_third
91. low_crosses
92. high_crosses
93. blocked_crosses
94. deep_completions
95. total_duels
96. total_duels_won
97. total_duel_win_rate
98. average_pass_length
99. offensive_duels
100. offensive_duels_won
101. offensive_duels_win_rate
102. defensive_duels
103. defensive_duels_won
104. defensive_duels_win_rate
105. loose_ball_duels
106. loose_balls_won
107. loose_ball_win_rate
108. aerial_duels
109. aerial_duels_won
110. aerial_duel_win_rate
111. dribbles_attempted
112. successful_dribbles
113. dribbling_success_rate
114. challenge_intensity
115. xG
116. possession_time
117. average_shot_dist
118. match_tempo

# Data:
team_name: Butler Bulldogs
opponent_team_name: Indiana Hoosiers
match_date: 05-09-2024
competition: NCAA D1 Non-conference matches Regular season
goals: 1
possession: 45
shots: 15
shots_on_target: 7
num_of_possessions: 116
shots_on_post: 0
shots_blocked: 5
shots_wide: 3
possessions_end_in_opp_half: 57
perc_total_possessions_end_in_opp_half: 49
shots_inside_box: 9
shots_on_target_inside_box: 3
shots_on_target_inside_box_perc: 33
posssessions_end_in_opp_box: 16
perc_total_possessions_end_in_opp_box: 14
shots_outside_box: 6
shots_on_target_outside_box: 4
shots_on_target_outside_box_perc: 67
average_possession_time: 00:12
corners: 6
free_kicks: 3
offsides: 3
total_open_play_possessions: 92
fouls_committed: 18
fouls_drawn: 11
num_short_possessions: 44
yellows: 2
reds: 0
num_medium_possessions: 26
num_long_possessions: 21
num_very_long_possessions: 1
total_attacks: 47
total_attacks_with_shots: 13
total_attacks_to_shot_rate: 28
num_positional_attacks: 35
positional_attacks_with_shots: 7
positional_attacks_to_shot_rate: 20
counters: 0
total_passes_attempted: 369
total_accurate_passes: 296
total_passing_accuracy: 80
total_free_kicks: 3
free_kicks_with_shots: 2
free_kick_shot_perc: 67
forward_passes_attempted: 153
forward_accurate_passes: 115
forward_passing_accuracy: 75
total_corners: 6
corners_with_shots: 3
corner_shot_perc: 50
back_passes_attempted: 52
back_accurate_passes: 49
back_passing_accuracy: 94
lateral_passes_attempted: 136
lateral_accurate_passes: 114
lateral_passing_accuracy: 84
progressive_passes_attempted: 87
progressive_accurate_passes: 62
progressive_passing_accuracy: 71
slide_tackles: 2
long_passes_attempted: 58
long_accurate_passes: 35
long_passing_accuracy: 60
interceptions: 69
fin_third_passes_attempted: 59
fin_third_accurate_passes: 42
fin_third_passing_accuracy: 71
clearances: 19
average_pass_to_final_third_length: 33.9
ppda: 8.1
passes_to_box_attempted: 15
accurate_passes_to_box: 3
passes_to_box_accuracy: 20
shot_assists: 9
total_recoveries: 104
recoveries_own_third: 59
recoveries_mid_third: 38
recoveries_opp_third: 7
recoveries_in_opp_half: 29
total_crosses: 12
accurate_crosses: 1
crossing_accuracy: 8
total_losses: 116
losses_own_third: 25
losses_mid_third: 42
losses_opp_third: 49
low_crosses: 3
high_crosses: 9
blocked_crosses: 0
deep_completions: 9
total_duels: 284
total_duels_won: 129
total_duel_win_rate: 45
average_pass_length: 22.2
offensive_duels: 102
offensive_duels_won: 26
offensive_duels_win_rate: 25
defensive_duels: 88
defensive_duels_won: 59
defensive_duels_win_rate: 67
loose_ball_duels: 33
loose_balls_won: 14
loose_ball_win_rate: 42
aerial_duels: 61
aerial_duels_won: 30
aerial_duel_win_rate: 49
dribbles_attempted: 39
successful_dribbles: 15
dribbling_success_rate: 38.0
challenge_intensity: 6.6
xG: 1.02
possession_time: 24:27
average_shot_dist: 18.1
match_tempo: 15.4

--------------------------------------------------
team_name: Indiana Hoosiers
opponent_team_name: Butler Bulldogs
match_date: 05-09-2024
competition: NCAA D1 Non-conference matches Regular season
goals: 1
possession: 55
shots: 10
shots_on_target: 4
num_of_possessions: 120
shots_on_post: 0
shots_blocked: 4
shots_wide: 2
possessions_end_in_opp_half: 58
perc_total_possessions_end_in_opp_half: 48
shots_inside_box: 5
shots_on_target_inside_box: 2
shots_on_target_inside_box_perc: 40
posssessions_end_in_opp_box: 10
perc_total_possessions_end_in_opp_box: 8
shots_outside_box: 5
shots_on_target_outside_box: 2
shots_on_target_outside_box_perc: 40
average_possession_time: 00:14
corners: 7
free_kicks: 2
offsides: 3
total_open_play_possessions: 86
fouls_committed: 12
fouls_drawn: 15
num_short_possessions: 40
yellows: 3
reds: 0
num_medium_possessions: 22
num_long_possessions: 21
num_very_long_possessions: 3
total_attacks: 37
total_attacks_with_shots: 9
total_attacks_to_shot_rate: 24
num_positional_attacks: 18
positional_attacks_with_shots: 3
positional_attacks_to_shot_rate: 17
counters: 1
total_passes_attempted: 417
total_accurate_passes: 319
total_passing_accuracy: 76
total_free_kicks: 2
free_kicks_with_shots: 0
free_kick_shot_perc: 0
forward_passes_attempted: 149
forward_accurate_passes: 93
forward_passing_accuracy: 62
total_corners: 7
corners_with_shots: 2
corner_shot_perc: 29
back_passes_attempted: 61
back_accurate_passes: 57
back_passing_accuracy: 93
lateral_passes_attempted: 151
lateral_accurate_passes: 124
lateral_passing_accuracy: 82
progressive_passes_attempted: 74
progressive_accurate_passes: 53
progressive_passing_accuracy: 72
slide_tackles: 1
long_passes_attempted: 72
long_accurate_passes: 33
long_passing_accuracy: 46
interceptions: 28
fin_third_passes_attempted: 76
fin_third_accurate_passes: 31
fin_third_passing_accuracy: 41
clearances: 15
average_pass_to_final_third_length: 34.7
ppda: 9.0
passes_to_box_attempted: 11
accurate_passes_to_box: 3
passes_to_box_accuracy: 27
shot_assists: 5
total_recoveries: 93
recoveries_own_third: 36
recoveries_mid_third: 42
recoveries_opp_third: 15
recoveries_in_opp_half: 34
total_crosses: 9
accurate_crosses: 4
crossing_accuracy: 44
total_losses: 140
losses_own_third: 15
losses_mid_third: 48
losses_opp_third: 77
low_crosses: 2
high_crosses: 5
blocked_crosses: 2
deep_completions: 7
total_duels: 284
total_duels_won: 138
total_duel_win_rate: 49
average_pass_length: 22.4
offensive_duels: 88
offensive_duels_won: 29
